category,date,newspaper,timestamp,title,url
Sports,"May 23, 2024",The Chronicle,2025-05-10T16:48:02.520730,President Mnangagwa arrives for Victoria Falls cricket stadium foundation stone laying ceremony,https://www.heraldonline.co.zw/president-mnangagwa-arrives-for-victoria-falls-cricket-stadium-foundation-stone-laying-ceremony/?from=chronicle
Sports,"March 13, 2025",The Chronicle,2025-05-10T16:48:03.397364,"Ex Bosso, Young Warriors player Mandla Nkomo dies",https://www.heraldonline.co.zw/ex-bosso-young-warriors-player-mandla-nkomo-dies/?from=chronicle
Sports,"March 24, 2025",The Chronicle,2025-05-10T16:48:05.650496,Ex Bosso security Bhibhiza laid to rest,https://www.heraldonline.co.zw/ex-bosso-security-bhibhiza-laid-to-rest/?from=chronicle
Sports,"April 21, 2025",The Chronicle,2025-05-10T16:48:06.375015,"Arsenal make Liverpool wait  for title party, Chelsea beat Fulham",https://www.heraldonline.co.zw/arsenal-make-liverpool-wait-for-title-party-chelsea-beat-fulham/?from=chronicle
Arts/Culture/Celebrities,"May 8, 2025",The Chronicle,2025-05-10T16:48:07.935685,Mbongeni Ignatius returns with Let It Out comedy show,https://www.heraldonline.co.zw/mbongeni-ignatius-returns-with-let-it-out-comedy-show/?from=chronicle
Arts/Culture/Celebrities,"May 8, 2025",The Chronicle,2025-05-10T16:48:09.092569,Graphic designer Donga steps into limelight,https://www.heraldonline.co.zw/graphic-designer-donga-steps-into-limelight/?from=chronicle
Arts/Culture/Celebrities,"May 8, 2025",The Chronicle,2025-05-10T16:48:13.801221,"Scotts Maphuma receives support from Makhadzi, Oskido, and Black Coffee following his public apology",https://www.heraldonline.co.zw/scotts-maphuma-receives-support-from-makhadzi-oskido-and-black-coffee-following-his-public-apology/?from=chronicle
Arts/Culture/Celebrities,"May 9, 2025",The Chronicle,2025-05-10T16:48:17.272498,"Mr, Miss Rural Zimbabwe pageant changing lives",https://www.heraldonline.co.zw/mr-miss-rural-zimbabwe-pageant-changing-lives/?from=chronicle
Arts/Culture/Celebrities,"May 8, 2025",The Chronicle,2025-05-10T16:48:17.517987,"Fresh faces, bold vision: Meet the new game-changers of Zim fashion",https://www.heraldonline.co.zw/fresh-faces-bold-vision-meet-the-new-game-changers-of-zim-fashion/?from=chronicle
Arts/Culture/Celebrities,"May 9, 2025",The Chronicle,2025-05-10T16:48:18.510277,"DJ Dynamite: From grandma’s tavern to running Bulawayo, Jo’burg night life",https://www.heraldonline.co.zw/dj-dynamite-from-grandmas-tavern-to-running-bulawayo-joburg-night-life/?from=chronicle
Arts/Culture/Celebrities,"May 8, 2025",The Chronicle,2025-05-10T16:48:19.015555,Swazy and KhweziZW unite for “Fusion Fiesta 2025” in Bulawayo,https://www.heraldonline.co.zw/swazy-and-khwezizw-unite-for-fusion-fiesta-2025-in-bulawayo/?from=chronicle
Arts/Culture/Celebrities,"May 9, 2025",The Chronicle,2025-05-10T16:48:24.016776,"By public demand, Asante Mo returns to Harare",https://www.heraldonline.co.zw/by-public-demand-asante-mo-returns-to-harare/?from=chronicle
Arts/Culture/Celebrities,"May 9, 2025",The Chronicle,2025-05-10T16:48:25.580348,EUNIC Zimbabwe bridges art and science in climate-themed showcase,https://www.heraldonline.co.zw/eunic-zimbabwe-bridges-art-and-science-in-climate-themed-showcase/?from=chronicle
Arts/Culture/Celebrities,"May 10, 2025",The Chronicle,2025-05-10T16:48:25.601193,So Sweet introduces the Masala Chai,https://www.heraldonline.co.zw/so-sweet-introduces-the-masala-chai/?from=chronicle
Arts/Culture/Celebrities,"May 10, 2025",The Chronicle,2025-05-10T16:48:27.666045,Eyeing political arena: Natalie Manhoko champions youth and progress in Zimbabwe,https://www.heraldonline.co.zw/eyeing-political-arena-natalie-manhoko-champions-youth-and-progress-in-zimbabwe/?from=chronicle
Arts/Culture/Celebrities,"May 9, 2025",The Chronicle,2025-05-10T16:48:27.721669,Midlands ready to kickstart Chibuku Neshamwari 2025 edition,https://www.heraldonline.co.zw/midlands-ready-to-kickstart-chibuku-neshamwari-2025-edition/?from=chronicle
Arts/Culture/Celebrities,"May 10, 2025",The Chronicle,2025-05-10T16:48:29.571627,"Enter Bill Masuku, a global force in comics and animation",https://www.heraldonline.co.zw/enter-bill-masuku-a-global-force-in-comics-and-animation/?from=chronicle
Arts/Culture/Celebrities,"May 10, 2025",The Chronicle,2025-05-10T16:48:31.523367,"Goodluck, Powers to dazzle wine and food fest fans",https://www.heraldonline.co.zw/goodluck-powers-to-dazzle-wine-and-food-fest-fans/?from=chronicle
Politics,"March 20, 2025",The Chronicle,2025-05-10T16:48:35.379545,IOC presidential race reaches finish line – key questions answered,https://www.heraldonline.co.zw/ioc-presidential-race-reaches-finish-line-key-questions-answered/?from=chronicle
Politics,"March 23, 2025",The Chronicle,2025-05-10T16:48:36.631678,Zimbabwe showcases rich culture in Washington DC,https://www.heraldonline.co.zw/zimbabwe-showcases-rich-culture-in-washington-dc/?from=chronicle
Politics,"April 23, 2025",The Chronicle,2025-05-10T16:48:40.016902,Farewell to Pope Francis: A life  of service,https://www.heraldonline.co.zw/farewell-to-pope-francis-a-life-of-service/?from=chronicle
Politics,"April 21, 2025",The Chronicle,2025-05-10T16:48:40.256197,What Happens When a Pope Dies?,https://www.heraldonline.co.zw/what-happens-when-a-pope-dies/?from=chronicle
Business,"May 7, 2025",The Chronicle,2025-05-10T16:48:41.378776,OK says to complete capital raise by June,https://www.heraldonline.co.zw/ok-says-to-complete-capital-raise-by-june-2/?from=chronicle
